title,location,price,bedrooms
,Lavington,"KSh 82,000,000",5
,Lavington,"KSh 58,000,000",5
,Buruburu,"KSh 10,900,000",4
,"099, Amboseli Lane, Lavington","KSh 50,000,000",5
,Langata,"KSh 30,000,000",6
,Lavington,"KSh 40,000,000",4
,"Rusinga Court, Lavington","KSh 500,000,000",5
,"Greenview Villas, Kiambu Road","KSh 32,000,000",4
,"O, Karen kuwinda road, Karen","KSh 85,000,000",4
,"1027m, New Runda, Runda, Westlands","KSh 90,000,000",4
,"Brookside, Westlands, Nairobi","KSh 25,000,000",4
,"Five Star Paradise, Kiambu Road","KSh 52,950,000",4
,"Near Karen hub, Karen","KSh 75,000,000",5
,"Karbasiran, Lavington","KSh 45,000,000",4
,"72, Jacaranda Avenue, Lavington","KSh 135,000,000",6
,Kiambu Road,"KSh 85,000,000",4
,"Karen kuro road, Karen","KSh 67,000,000",7
,Karen,"KSh 75,000,000",4
,"karen, Karen","KSh 65,000,000",5
,Lavington,"KSh 150,000,000",5
,Ngong Road,"KSh 14,500,000",3
,Kiambu Road,"KSh 32,500,000",4
,"Spring Valley, Westlands","KSh 92,000,000",5
,"Oloolua, Karen","KSh 99,000,000",5
,"Argwings Khodhek, Kilimani","KSh 53,000,000",4
,Karen,"KSh 60,000,000",5
,"Loresho, Westlands","KSh 36,000,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,"Kiu River Rd, Kahawa Sukari, Roysambu","KSh 55,000,000",5
,"45, Eliud Mathu Street, Runda, Westlands","KSh 300,000,000",5
,"Lower Kabete, Westlands","KSh 150,000,000",5
,Kiambu Road,"KSh 63,950,000",5
,Kilimani,"KSh 29,000,000",4
,"1, Off Loresho Ridge, Loresho, Westlands","KSh 130,000,000",4
,"Kitisuru, Westlands","KSh 130,000,000",5
,"Rosslyn lone tree Nairobi, Rosslyn, Westlands","KSh 120,000,000",5
,"01, Runda, Westland, Westlands","KSh 85,000,000",5
,"Lower Kabete, Westlands","KSh 100,000,000",5
,"Dam Estate, Langata Road, Langata","KSh 18,000,000",4
,Kiambu Road,"KSh 35,000,000",4
,"Ngong, Ngong Road","KSh 7,600,000",3
,"Runda, Westlands","KSh 65,000,000",5
,"Near Karen shopping centre, Karen","KSh 130,000,000",6
,"14, KERARAPON DRIVE, Karen","KSh 40,000,000",5
,Lavington,"KSh 75,000,000",5
,"56, Convent Garden, Lavington","KSh 48,450,000",5
,"Lavington Green, Lavington","KSh 60,000,000",4
,"Loresho, Westlands","KSh 40,000,000",4
,"lavington, Lavington","KSh 95,000,000",5
,"Bagathi ridge, Karen","KSh 120,000,000",5
,"171, Jacaranda avenue, Lavington","KSh 140,000,000",6
,"01, Runda, Westland, Westlands","KSh 75,000,000",5
,"Kibagare way, Loresho, Westlands","KSh 85,000,000",4
,Karen,"KSh 65,000,000",4
,"Ndege road, Karen","KSh 130,000,000",4
,"Kitisuru, Westlands","KSh 135,000,000",4
,South C,"KSh 18,500,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,Kiambu Road,"KSh 84,000,000",3
,"Fourways Junction Estate, Kiambu Road","KSh 25,000,000",3
,Lavington,"KSh 60,000,000",5
,Karen,"KSh 82,000,000",5
,"Lenana Road, Kilimani, Nairobi","KSh 50,000,000",5
,"miotoni road, Karen","KSh 550,000,000",8
,South C,"KSh 32,000,000",4
,"Karen miotoni, Karen","KSh 120,000,000",5
,"0928n/0929p, within Runda Estate., Runda, Westlands","KSh 90,000,000",4
,Imara Daima,"KSh 11,000,000",3
,Kiambu Road,"KSh 85,000,000",5
,Kilimani,"KSh 35,000,000",3
,Kiambu Road,"KSh 85,000,000",5
,"01, karen, Nairobi, Karen","KSh 90,000,000",4
,"Runda, Westlands","KSh 85,000,000",5
,"Riverbank Estate, South B","KSh 13,000,000",3
,Karen,"KSh 120,000,000",5
,"Kirarapon, Karen","KSh 40,000,000",4
,Lavington,"KSh 85,000,000",5
,"O, Karen ushirka road, Karen","KSh 130,000,000",5
,"Kiambu road, Kiambu Road","KSh 30,200,000",4
,"Riverside Drive, Westlands Area, Westlands","KSh 45,000,000",5
,"678, Eliud Mathu, Runda, Westlands","KSh 300,000,000",4
,"Gigiri, Westlands","KSh 220,000,000",5
,"Jamhuri phase 1, Ngong Road","KSh 16,200,000",31
,"Gigiri, Westlands",Price not communicated,5
,Lavington,"KSh 48,000,000",4
,"Karen Academy road, Karen","KSh 115,000,000",6
,Lavington,"KSh 63,000,000",4
,"Nyari, Westlands","KSh 130,000,000",5
,Karen,"KSh 70,000,000",5
,"Fourways Junction Estate, Kiambu Road","KSh 31,000,000",4
,"MUMIAS SOUTH RD, Buruburu","KSh 10,000,000",3
,"Gigiri, Westlands","KSh 110,000,000",4
,South C,"KSh 19,000,000",3
,Karen,"KSh 70,000,000",4
,"Convent, Lavington","KSh 60,000,000",5
,"Kitisuru, Westlands","KSh 880,000,000",5
,"Kitisuru, Westlands","KSh 120,000,000",5
,"77, Evergreen, Runda, Westlands","KSh 135,000,000",7
,"Kiambu road, Kiambu Road","KSh 62,000,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,Karen,"KSh 85,000,000",4
,Kiambu Road,"KSh 39,000,000",4
,"Buruburu Ph v, Buruburu","KSh 11,500,000",3
,Lavington,"KSh 85,000,000",5
,Lavington,"KSh 63,000,000",5
,"Kitengela road, Langata","KSh 16,000,000",3
,"Windsor, Roysambu","KSh 60,000,000",4
,Lavington,"KSh 55,000,000",5
,Karen,"KSh 98,000,000",5
,"Lower Kabete, Westlands","KSh 140,000,000",5
,"Kommarock, Komarock","KSh 13,000,000",4
,"90, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
,"Kyuna, Westlands","KSh 49,500,000",4
,"112, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
,Lavington,"KSh 68,000,000",4
,"langata road, Langata","KSh 37,000,000",4
,Karen,"KSh 80,000,000",5
,"78, Loresho Ridge, Loresho, Westlands","KSh 120,000,000",5
,Donholm,"KSh 11,500,000",3
,"Fana road, Karen","KSh 67,000,000",5
,"Owashika road, Lavington, Nairobi","KSh 165,000,000",4
,Kiambu Road,"KSh 30,000,000",4
,Lavington,"KSh 75,000,000",4
,"Kitisuru, Westlands","KSh 350,000,000",4
,Karen,"KSh 67,000,000",5
,"01, Runda,, Runda, Westlands","KSh 130,000,000",5
,Kiambu Road,"KSh 85,000,000",5
,"Edenville, Kiambu Road","KSh 25,945,000",4
,Embakasi,"KSh 13,000,000",3
,"01, Kitisuru,, Kitisuru, Westlands","KSh 400,000,000",6
,Kiambu Road,"KSh 40,000,000",4
,"45, Kitisuru 44, Kitisuru, Westlands","KSh 120,000,000",644
,Karen,"KSh 130,000,000",5
,"Westlands Area, Westlands","KSh 180,000,000",5
,South C,"KSh 38,000,000",5
,"Kencom Sacco, Runda, Westlands","KSh 38,500,000",4
,Karen,"KSh 90,000,000",4
,"Ngong kibiko, Ngong Road","KSh 15,500,000",5
,Langata,"KSh 29,000,000",5
,Lavington,"KSh 60,000,000",5
,"lavington, Lavington","KSh 70,000,000",4
,Ngong Road,"KSh 12,500,000",2
,"Westlands Area, Westlands","KSh 60,000,000",5
,Ridgeways,"KSh 75,000,000",3
,"Garden Estate, Roysambu","KSh 90,000,000",5
,"Nyari, Westlands","KSh 130,000,000",6
,"Isaac Gathanju, Lavington","KSh 85,000,000",5
,"Old Muthaiga, Muthaiga","KSh 550,000,000",5
,"O, Kahawa, Roysambu","KSh 55,000,000",5
,"Kangundo road, Malaa, Kamulu Joska Malaa","KSh 7,800,000",3
,"Muthithi road, Kiambu Road","KSh 30,000,000",4
,"Mountain view, Mountain View, Westlands","KSh 42,000,000",4
,"Paradise Lost, Kiambu Road","KSh 85,000,000",4
,Karen,"KSh 69,000,000",4
,"loresho, Loresho, Westlands","KSh 130,000,000",5
,"Malaa town, Kangundo road, Malaa, Kamulu Joska Malaa","KSh 5,750,000",3
,"Karen hub, Karen","KSh 110,000,000",5
,Ruai,"KSh 9,800,000",4
,"Thigiri, Westlands","KSh 135,000,000",4
,"Ushirka road, Karen Hardy","KSh 110,000,000",5
,Karen,"KSh 99,000,000",5
,Karen,"KSh 150,000,000",5
,Kiambu Road,"KSh 23,500,000",3
,South C,"KSh 32,000,000",4
,"01, lower kabete, westland, Lower Kabete, Westlands","KSh 85,000,000",5
,"01, Runda, Westland, Westlands","KSh 97,000,000",4
,"Bomas of kenya, Karen","KSh 150,000,000",5
,"Coffee Gardens - Muthaiga North, Muthaiga","KSh 115,000,000",4
,Karen,"KSh 95,000,000",5
,Lavington,"KSh 75,000,000",5
,Lavington,"KSh 55,000,000",5
,Buruburu,"KSh 13,000,000",3
,"Maziwa, Lavington Green, Lavington","KSh 145,000,000",6
,"Riverside close, Riverside, Westlands","KSh 47,000,000",5
,Kiambu Road,"KSh 19,250,000",2
,Kasarani,"KSh 69,500,000",4
,"Karen hub, Karen","KSh 135,000,000",5
,Langata,"KSh 17,000,000",4
,"Mbagathi Way, Langata","KSh 12,500,000",3
,Lavington,"KSh 55,000,000",5
,"Nyari, Westlands","KSh 220,000,000",5
,"78, Flem Tree, Runda, Westlands","KSh 115,000,000",5
,"near Astrol area, opposite GSU, Utawala","KSh 30,000,000",5
,"01, Lavington","KSh 95,000,000",5
,Lavington,"KSh 50,000,000",5
,"Lower Kabete, Westlands","KSh 125,000,000",4
,"O, Bongani road, Karen","KSh 85,000,000",6
,"Fourways Junction Estate, Kiambu Road","KSh 31,000,000",4
,"LAVINGTON, Lavington","KSh 42,000,000",3
,"Loresho, Westlands",Price not communicated,4
,"miotoni road, Karen","KSh 150,000,000",5
,Lavington,"KSh 85,000,000",5
,"Lower Kabete, Westlands","KSh 85,000,000",5
,"890, Eliud Mathu streets, Runda, Westlands","KSh 300,000,000",5
,"langata south road, Karen","KSh 65,000,000",4
,"waiyaki way, Westlands Area, Westlands","KSh 38,500,000",3
,"Five Star Paradise, Kiambu Road","KSh 52,000,000",4
,Lavington,"KSh 65,000,000",5
,"Loresho Ridge, Loresho, Westlands","KSh 44,000,000",4
,Lavington,"KSh 70,000,000",4
,Lavington,"KSh 50,000,000",5
,"Duom Palm Street, Runda, Westlands","KSh 90,000,000",5
,"Loresho, Westlands","KSh 60,000,000",4
,Muthaiga,"KSh 250,000,000",5
,"Kenyatta Road, Thika Road","KSh 7,800,000",3
,"South c, South C","KSh 19,000,000",3
,"Near social amenities such as West gate mall and Sarit centre, Brookside, Westlands","KSh 55,000,000",5
,"EDENVILLE PHASE 2, Kiambu Road","KSh 24,500,000",42
,"Loresho, Westlands","KSh 120,000,000",5
,"Spring Valley, Westlands","KSh 90,000,000",4
,"General Mathenge, Westlands","KSh 200,000,000",9
,"01, kitisuru, westland, Kitisuru, Westlands","KSh 120,000,000",5
,"Loresho, Westlands","KSh 150,000,000",5
,"Kitisuru, Westlands","KSh 120,000,000",5
,"Langata south road, Karen","KSh 90,000,000",5
,"Westlands Area, Westlands","KSh 35,000,000",5
,"Karen hardy, Karen Hardy","KSh 87,000,000",4
,"Lower Kabete, Westlands","KSh 90,000,000",5
,"O, Karen THREE DE ROAD, Karen","KSh 75,000,000",4
,"x, runda, Runda, Westlands","KSh 120,000,000",5
,"Makindi Road, Lavington","KSh 60,000,000",4
,Lavington,"KSh 50,000,000",5
,"Runda, Westlands","KSh 68,000,000",5
,"Dennis Pritt Rd, Palm Spring Gardens, Dennis Pritt","KSh 69,000,000",4
,"Karen muteero, Karen","KSh 67,000,000",4
,"Runda mimosa, Runda, Westlands","KSh 250,000,000",7
,"Nyari, Westlands","KSh 130,000,000",5
,Ruai,"KSh 12,500,000",4
,"Lower Kabete, Westlands","KSh 160,000,000",5
,"Woodvale Drive, Runda, Nairobi, Westlands","KSh 95,000,000",4
,"O, Masai west road, Karen","KSh 75,000,000",4
,Kiambu Road,"KSh 25,000,000",3
,Karen,"KSh 165,000,000",7
,Karen Hardy,"KSh 120,000,000",5
,"Mukoma road, Karen","KSh 85,000,000",4
,"Runda, Westlands","KSh 75,000,000",3
,Langata,"KSh 27,000,000",5
,Kiambu Road,"KSh 65,000,000",5
,"Loresho, Westlands","KSh 41,000,000",4
,"Maziwa, Lavington","KSh 58,000,000",4
,"O, Three Dee lane, Karen","KSh 75,000,000",4
,Lavington,"KSh 95,000,000",5
,"Mukoma road, Karen","KSh 85,000,000",4
,"Brookside, Westlands","KSh 58,000,000",4
,"01, karen, Karen","KSh 50,000,000",4
,"Ololua estate, Karen","KSh 95,000,000",5
,"Paradise lost road, Kiambu Road","KSh 75,000,000",3
,Langata,"KSh 26,500,000",3
,Kiambu Road,"KSh 40,000,000",4
,Lavington,"KSh 75,000,000",4
,"Runda, Westlands","KSh 40,000,000",4
,"Thome, Roysambu","KSh 69,000,000",4
,"O, Karen","KSh 150,000,000",6
,"Ushirika Road, Karen Hardy","KSh 120,000,000",6
,Karen,"KSh 150,000,000",6
,"Parklands, Westlands","KSh 25,000,000",4
,Kiambu Road,"KSh 32,500,000",4
,"O, Near mugoya estate, South C","KSh 21,000,000",4
,"Fivestar Meadows Estate, Kiambu Road","KSh 40,000,000",4
,"Riverside, Westlands","KSh 60,000,000",4
,Kileleshwa,"KSh 32,000,000",4
,Kiambu Road,"KSh 28,000,000",4
,"Runda, Westlands","KSh 70,000,000",4
,Ngumo Estate,"KSh 16,000,000",3
,"Runda, Westlands","KSh 80,000,000",5
,"Kigwa Springs Close, Ridgeways","KSh 90,000,000",4
,"Rhino Park Road, Karen","KSh 70,000,000",4
,"Malaa, Kamulu Joska Malaa","KSh 5,900,000",3
,Lavington,"KSh 51,000,000",5
,Lavington,"KSh 40,000,000",5
,Lavington,"KSh 68,000,000",4
,"Kaputei road, Lavington","KSh 350,000,000",5
,"Wanyee Road, Dagoretti Corner","KSh 14,900,000",3
,"O, Karen ololua estate, Karen","KSh 95,000,000",5
,"Muthaiga North, Muthaiga","KSh 38,000,000",4
,"01, Runda, Westland, Westlands","KSh 92,000,000",5
,Kileleshwa,"KSh 55,000,000",5
,"Njathaini road, Kiambu Road","KSh 30,000,000",4
,Lavington,"KSh 67,500,000",5
,"Katani Road, Syokimau, Mombasa Road","KSh 20,000,000",5
,"Off Gitanga, Lavington","KSh 26,800,000",4
,"Kiambu road, Kiambu Road","KSh 32,000,000",4
,Lavington,"KSh 182,000,000",4
,"56, Runda Road, Runda, Westlands","KSh 92,000,000",5
,"Runda, Nairobi, Westlands","KSh 105,000,000",5
,Lavington,"KSh 185,000,000",4
,"O, Ngong, Ngong Road","KSh 7,200,000",3
,Embakasi,"KSh 12,600,000",3
,"School lane, Westlands Area, Westlands","KSh 45,000,000",4
,"Off Langata Road, Karen","KSh 190,000,000",7
,Langata,"KSh 26,000,000",4
,"Parklands, Westlands","KSh 37,000,000",4
,"Loresho, Westlands","KSh 150,000,000",4
,South C,"KSh 26,000,000",4
,"Lower Kabete, Westlands","KSh 125,000,000",5
,Kiambu Road,"KSh 24,500,000",4
,"Runda, Westlands","KSh 90,000,000",7
,"Marist Lane, Karen","KSh 135,000,000",5
,Lavington,"KSh 67,000,000",4
,Karen,"KSh 75,000,000",4
,"Mamba village, Karen","KSh 83,000,000",6
,"Alozi estate Rd, Garden Estate, Roysambu","KSh 56,000,000",5
,Kiambu Road,"KSh 53,500,000",4
,"Bongani road, Karen","KSh 100,000,000",7
,Lavington,"KSh 66,000,000",4
,"Hillcrest road, Karen","KSh 50,000,000",4
,Lavington,"KSh 235,000,000",3
,Lavington,"KSh 68,000,000",4
,"Peponi Road, Westlands Area, Westlands","KSh 83,000,000",4
,"Mimosa, Runda, Westlands","KSh 85,000,000",5
,"Runda, Westlands","KSh 90,000,000",5
,"Jamhuri estate, off Ngong Road, Jamhuri","KSh 23,000,000",5
,"Ushirika Road, Karen","KSh 100,000,000",7
,"O, Marula, Karen","KSh 300,000,000",6
,"87, Mugumo Road, Runda, Westlands","KSh 130,000,000",7
,"Brookside, Westlands","KSh 45,000,000",4
,Karen Hardy,"KSh 112,500,000",5
,"Westlands Area, Westlands","KSh 70,000,000",5
,"O, Karen Marist road, Karen","KSh 150,000,000",5
,"Ngecha Rd, Kitisuru, Westlands","KSh 128,000,000",5
,Kiambu Road,"KSh 37,000,000",4
,Kiambu Road,"KSh 32,000,000",4
,Lavington,"KSh 98,000,000",5
,"Ngecha Road, Kitisuru, Westlands","KSh 65,000,000",4
,"Miotoni road, Karen","KSh 350,000,000",8
,"77, Mimosa Road, Runda, Westlands","KSh 150,000,000",5
,Lavington,"KSh 65,000,000",4
,Lavington,"KSh 55,000,000",5
,Ridgeways,"KSh 90,000,000",4
,"Loresho, Westlands","KSh 40,000,000",4
,"Runda, Westlands","KSh 160,000,000",6
,"Hillcrest, Karen","KSh 46,000,000",4
,Lavington,"KSh 60,000,000",5
,"SouthC, South C","KSh 21,000,000",4
,Karen,"KSh 75,000,000",4
,"Brookside, Westlands","KSh 55,000,000",5
,"01, nyari, westland, Nyari, Westlands","KSh 130,000,000",5
,Muthaiga,"KSh 138,000,000",4
,"37, Icipe Road, Kasarani","KSh 22,000,000",4
,"89, Runda Road, Runda, Westlands","KSh 130,000,000",7
,"01, lavington, Nairobi, Lavington","KSh 50,000,000",4
,Karen,"KSh 75,000,000",4
,"Mimosa, Runda, Westlands","KSh 135,000,000",5
,Ridgeways,"KSh 145,000,000",7
,Karen,"KSh 85,000,000",4
,South B,"KSh 20,000,000",4
,"Mushroom Gardens, Kiambu Road","KSh 33,000,000",4
,"Oloolua Ridge, Karen","KSh 99,000,000",5
,"O, Ololua road, Karen","KSh 95,000,000",5
,"80, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
,"Garden Estate, Roysambu","KSh 27,000,000",4
,"Kyuna, Westlands","KSh 135,000,000",5
,"Karen Kikeni road, Karen Hardy","KSh 47,000,000",4
,"Spring Valley, Westlands","KSh 85,000,000",4
,"Westlands Area, Westlands","KSh 58,500,000",4
,"Ushirika Road, Karen Hardy","KSh 150,000,000",6
,"Runda, Westlands","KSh 90,000,000",5
,"Garden Estate, Roysambu","KSh 70,000,000",5
,Lavington,"KSh 65,000,000",4
,Lavington,Price not communicated,4
,"Joska, Kamulu Joska Malaa","KSh 7,000,000",3
,"Kinoo, Waiyaki Way, Westlands","KSh 15,000,000",6
,"Mawe Mbili Road, Ruai","KSh 22,000,000",7
,"No. 4, Serenity Road, Lavington","KSh 57,500,000",5
,"Nyeri road, Kileleshwa","KSh 58,000,000",7
,Lavington,"KSh 42,000,000",4
,"Njiru riverside, Kasarani","KSh 3,800,000",2
,"Donholm Savannah Road, Donholm","KSh 11,000,000",4
,"Bongani road, Karen","KSh 55,000,000",6
,"Kumbe road, Karen","KSh 110,000,000",5
,Langata,"KSh 15,000,000",3
,Komarock,"KSh 7,500,000",4
,"Nairobi, Lavington","KSh 70,000,000",5
,Komarock,"KSh 12,000,000",4
,South C,"KSh 13,000,000",4
,"Donholm, Embakasi","KSh 14,000,000",4
,"Mukoma road, Karen","KSh 170,000,000",10
,"Mzima Springs, Lavington","KSh 140,000,000",5
,Lavington,"KSh 68,000,000",4
,"Desai Road, Ngara","KSh 55,000,000",10
,"Kericho road, Kahawa Sukari, Roysambu","KSh 27,000,000",5
,"ROYAL APARTMENTS, OFF CHURCH, Mombasa Road","KSh 280,000,000",5
,"Muhoya avenue, Lavington","KSh 230,000,000",6
,"Runda, Westlands","KSh 65,000,000",6
,Lavington,"KSh 54,000,000",5
,"Runda, Westlands",Price not communicated,5
,Lavington,"KSh 60,000,000",4
,Kiambu Road,"KSh 30,200,000",4
,Ruai,"KSh 12,500,000",5
,"Spring Valley, Westlands","KSh 170,000,000",4
,Muthaiga,"KSh 550,000,000",5
,South B,"KSh 21,000,000",4
,Donholm,"KSh 14,500,000",3
,"Thome, Roysambu","KSh 50,000,000",4
,Donholm,"KSh 10,500,000",3
,"Runda, Westlands","KSh 140,000,000",5
,Karen,"KSh 250,000,000",10
,Karen,"KSh 150,000,000",4
,"Runda Mhasibu, Runda, Westlands","KSh 47,000,000",4
,"Langata road, The Hub Karen, Karen","KSh 195,000,000",5
,Lavington,"KSh 60,000,000",4
,"Loresho, Westlands","KSh 45,000,000",4
,"behind Panari Hotel, Road C, Mombasa Road","KSh 27,000,000",4
,Karen,"KSh 160,000,000",5
,Lavington,"KSh 85,000,000",5
,"Westlands Area, Westlands","KSh 36,000,000",5
,Karen,"KSh 95,000,000",5
,Lavington,"KSh 85,000,000",4
,Ngong Road,"KSh 11,500,000",3
,Langata,"KSh 30,000,000",4
,Komarock,"KSh 7,300,000",4
,"Runda, Westlands","KSh 150,000,000",5
,Karen,"KSh 65,000,000",4
,"Gigiri Suburb, Gigiri, Westlands",Price not communicated,7
,Embakasi,"KSh 11,000,000",4
,"Spring Valley, Westlands",Price not communicated,4
,Donholm,"KSh 7,500,000",3
,Komarock,"KSh 5,300,000",2
,"Parklands, Westlands","KSh 32,000,000",4
,"oloitoktok road, Kileleshwa","KSh 29,500,000",4
,"Buruburu Phase 1, Buruburu","KSh 10,500,000",31
,Komarock,"KSh 10,000,000",4
,"301, Runda grove, Runda, Westlands","KSh 280,000,000",7
,Kiambu Road,"KSh 26,000,000",3
,"Loresho, Westlands","KSh 140,000,000",5
,Lavington,"KSh 140,000,000",7
,"Runda, Westlands","KSh 700,000,000",10
,Lavington,"KSh 75,000,000",5
,Lavington,"KSh 68,000,000",4
,"Gigiri, Westlands","KSh 85,000,000",5
,"Eden Ville Estate Phase 1,Along Kiambu Road, Kiambu Road","KSh 30,000,000",4
,"Mwanzi Road, Westlands Area, Westlands","KSh 27,000,000",4
,"Runda, Westlands","KSh 100,000,000",4
,"N/A, Kangundo Road, Joska, Kamulu Joska Malaa","KSh 12,500,000",3
,"Thika, Thika Road","KSh 45,000,000",6
,"Kabarsiran, Lavington","KSh 45,000,000",4
,"Runda,Runda, Runda, Westlands","KSh 75,000,000",5
,"Nyali, Rosslyn, Westlands","KSh 110,000,000",5
,"Runda, Westlands","KSh 72,000,000",4
,"Garden Estate, Roysambu","KSh 75,000,000",5
,"Kitisuru, Westlands","KSh 100,000,000",5
,"Runda mimosa, Runda, Westlands","KSh 80,000,000",6
,"Runda, Westlands","KSh 90,000,000",4
,"Loresho, Westlands","KSh 150,000,000",4
,"Fouways Junction Estate, Kiambu Road","KSh 29,000,000",4
,"Ngei phase 2, Langata","KSh 25,000,000",32
,Karen Hardy,"KSh 110,000,000",10
,"Along Kiambu Road Off Paradise Lost Road, Kiambu Road","KSh 32,000,000",4
,"Loresho, Westlands","KSh 150,000,000",5
,"Kipawa, Kamulu, Kamulu Joska Malaa","KSh 7,500,000",3
,"Muthithi Road, Kiambu Road","KSh 30,000,000",4
,Karen,"KSh 85,000,000",4
,"Kangundo Road, Joska, Kamulu Joska Malaa","KSh 8,150,000",3
,Donholm,"KSh 11,000,000",4
,"Mimosa Ridge, Runda Mimosa Road, Runda, Westlands","KSh 130,000,000",5
,Kiambu Road,"KSh 45,000,000",4
,"1, Lavington","KSh 90,000,000",5
,"Brookside, Westlands","KSh 50,000,000",4
,"Ridgeway, Ridgeways","KSh 100,000,000",4
,Lavington,"KSh 85,000,000",5
,Lavington,"KSh 64,000,000",5
,"Rosslyn, Westlands","KSh 110,000,000",4
,Lavington,"KSh 70,000,000",4
,"Runda, Westlands","KSh 120,000,000",5
,"Near the Bypass Junction, Kiambu Road","KSh 40,000,000",4
,"200M Off Kiambu Road, Kiambu Road","KSh 28,000,000",4200
,Langata,"KSh 27,000,000",5
,"Parklands, Westlands","KSh 45,000,000",4
,Imara Daima,"KSh 18,500,000",5
,"Forest edge Road, Karen","KSh 120,000,000",5
,"Runda, Runda mumwe, Westlands","KSh 75,000,000",4
,"Rossyln, Rosslyn, Westlands","KSh 200,000,000",6
,"Fourways Junction Estate, Kiambu Road","KSh 25,000,000",3
,"Runda, Old Runda, Westlands","KSh 220,000,000",5
,"Runda, Old Runda, Westlands","KSh 100,000,000",6
,"Fivestar Meadows Estate, Kiambu Road","KSh 38,500,000",4
,"Kahawa, Roysambu","KSh 38,000,000",4
,"East Church Road, Westlands Area, Westlands","KSh 40,000,000",5
,Kiambu Road,"KSh 32,000,000",4
,"Off Paradise Lost Road, Kiambu Road","KSh 29,000,000",4
,"Kenyatta Road, Thika Road","KSh 15,500,000",4
,"Njumbi Rd, Lavington","KSh 78,000,000",4
,Karen,"KSh 60,000,000",4
,"Mirema Drive, Mirema, Roysambu","KSh 23,500,000",5
,"Summerfield, Kiambu Road","KSh 37,000,000",4
,Lavington,"KSh 48,000,000",5
,Kiambu Road,"KSh 37,000,000",4
,"Off Mirema Rd, Thika Road","KSh 40,000,000",5
,Kiambu Road,"KSh 24,500,000",4
,"Riara Road, Kilimani","KSh 37,500,000",3
,Lavington,Price not communicated,8
,"Waiyaki Way, Westlands","KSh 19,800,000",4
,"8588, Kamura Road, Utawala","KSh 11,000,000",4
,"6, Mirema Drive, Mirema, Roysambu","KSh 15,800,000",4
,"Wilmary Estate, Garden Estate, Roysambu","KSh 45,000,000",5
,"Runda, Westlands","KSh 65,000,000",6
